"Season","Name","WAR","playerid"
"1992","Todd Stottlemyre","0.0","75"
"1992","David Cone","0.1","1680"
"1993","Ken Dayley","0.0","1003097"
"1999","Gary Glover","0.0","234"
"2000","Frank Castillo","0.0","180"
"2001","Brian Bowles","0.1","1290"
"2004","Pat Hentgen","0.0","145"
"2004","Frank Menechino","0.0","931"
"2004","Brandon League","0.1","3731"
"2005","Shaun Marcum","0.1","6204"
"2006","Casey Janssen","0.0","7355"
"2007","Jamie Vermilyea","0.1","5660"
"2008","Roy Halladay","0.2","1303"
"2008","Randy Wells","0.0","4535"
"2009","Brett Cecil","0.0","2660"
"2010","Taylor Buchholz","0.0","2168"
"2010","Marc Rzepczynski","0.1","6612"
"2011","Scott Richmond","0.0","4307"
"2011","Mike McCoy","0.0","4583"
"2011","Chad Beck","0.1","9258"
"2011","P.J. Walters","0.0","9557"
"2012","Shawn Hill","0.0","1882"
"2014","Kyle Drabek","0.1","4359"
"2014","Steve Tolleson","0.0","4450"
"2015","Scott Copeland","0.0","10706"
"2015","Rob Rasmussen","0.0","11250"
"2016","R.A. Dickey","0.0","1245"
"2016","Ryan Goins","0.0","9807"
"2016","Joaquin Benoit","0.6","1437"
"2005","Dustin McGowan","0.3","8600"
"2015","Marco Estrada","0.0","1118"
"2013","Jeremy Jeffress","0.1","9490"
"2014","Aaron Sanchez","0.5","11490"
"2011","Joel Carreno","0.2","2746"
"2006","B.J. Ryan","2.7","168"
"2003","Corey Thurman","0.1","1324"
"1994","Danny Cox","0.5","1002695"
"2008","John Parrish","0.0","160"
"1999","Kelvim Escobar","0.1","1298"
"2011","Carlos Villanueva","0.1","4138"
"2002","Jason Kershner","0.0","1566"
"2013","Sergio Santos","0.9","4734"
"2008","Scott Downs","1.1","773"
"1993","Todd Stottlemyre","0.2","75"
"1997","Paul Quantrill","1.9","669"
"1992","Duane Ward","2.4","1013609"
"2013","Chad Jenkins","0.0","10326"
"2012","Darren Oliver","1.1","206"
"1992","Dave Stieb","0.2","1012532"
"1993","Duane Ward","2.6","1013609"
"2007","Jeremy Accardo","1.2","6428"
"1995","Mike Timlin","1.3","1187"
"2007","Scott Downs","1.1","773"
"2008","Brandon League","0.1","3731"
"1994","Todd Stottlemyre","0.3","75"
"2002","Pete Walker","-0.1","1325"
"2001","John Frascatore","-0.2","1004304"
"2007","Lee Gronkiewicz","0.0","3508"
"2008","Jesse Carlson","0.6","4391"
"1992","Tom Henke","0.6","1005649"
"2011","Casey Janssen","1.1","7355"
"2007","Casey Janssen","0.9","7355"
"1998","Chris Carpenter","0.2","1292"
"2015","Aaron Sanchez","0.3","11490"
"2010","Robert Ray","0.0","3359"
"2008","Brian Wolfe","0.2","8515"
"2013","Dustin McGowan","0.1","8600"
"2013","Aaron Loup","0.7","10343"
"2015","Brett Cecil","1.4","2660"
"2009","Jason Frasor","1.4","1906"
"1994","Tony Castillo","0.4","1002069"
"1996","Huck Flener","0.0","1004148"
"2006","Brandon League","0.6","3731"
"1996","Tim Crabtree","1.4","1002715"
"2012","Casey Janssen","1.1","7355"
"2009","Jeremy Accardo","-0.1","6428"
"2014","Chad Jenkins","0.1","10326"
"2013","Casey Janssen","1.2","7355"
"2005","Justin Speier","0.4","451"
"2003","Brian Bowles","-0.1","1290"
"2015","Roberto Osuna","1.3","13764"
"1998","Paul Quantrill","1.6","669"
"2000","Billy Koch","1.8","924"
"2010","Scott Downs","1.1","773"
"2012","Aaron Loup","0.9","10343"
"2016","Roberto Osuna","1.8","13764"
"1997","Luis Andujar","0.0","1000267"
"1997","Carlos Almanzar","0.0","308"
"1997","Kenny Robinson","0.0","1011074"
"2014","Brett Cecil","1.1","2660"
"1993","Mark Eichhorn","1.0","1003712"
"1996","Paul Quantrill","0.0","669"
"2015","LaTroy Hawkins","0.3","729"
"2006","Scott Downs","0.5","773"
"2009","Dirk Hayhurst","0.1","6010"
"2013","Brett Cecil","0.9","2660"
"1995","Edwin Hurtado","0.1","1006227"
"1996","Marty Janzen","0.3","1006362"
"1997","Mike Timlin","0.3","1187"
"2008","Brian Tallet","0.7","1646"
"2012","Brandon Lyon","0.4","1312"
"1997","Kelvim Escobar","0.8","1298"
"2003","Pete Walker","-0.2","1325"
"2015","Liam Hendriks","1.5","3548"
"2016","Ryan Tepera","0.1","10291"
"2008","B.J. Ryan","0.8","168"
"2011","Marc Rzepczynski","0.4","6612"
"2011","Jason Frasor","0.3","1906"
"2007","Brian Wolfe","0.2","8515"
"2006","Justin Speier","1.0","451"
"2005","Pete Walker","0.2","1325"
"2010","Shawn Camp","0.2","1855"
"1998","Shannon Withem","0.0","1014166"
"2002","Mike Smith","0.1","1479"
"2003","Doug Linton","-0.1","1662"
"2009","Bryan Bullington","0.0","5066"
"2013","Thad Weber","-0.1","8036"
"1996","Dane Johnson","0.2","1006443"
"2001","Paul Quantrill","1.7","669"
"2016","Joseph Biagini","1.2","13194"
"2012","Aaron Laffey","-0.2","6248"
"1996","Paul Spoljaric","0.1","1012349"
"2009","Scott Downs","0.8","773"
"1995","Tim Crabtree","0.3","1002715"
"2004","Miguel Batista","-0.1","46"
"1993","Danny Cox","1.4","1002695"
"2014","Aaron Loup","0.3","10343"
"2003","Jason Kershner","0.5","1566"
"2009","Bill Murphy","-0.1","4755"
"2014","Rob Rasmussen","0.0","11250"
"1997","Paul Spoljaric","0.7","1012349"
"1995","Tony Castillo","0.6","1002069"
"2013","Steve Delabar","1.3","11827"
"2014","Todd Redmond","0.3","9943"
"2012","Carlos Villanueva","-0.2","4138"
"2005","Jason Frasor","0.6","1906"
"2001","Bob File","0.1","1301"
"2015","Ryan Tepera","-0.4","10291"
"1999","Paul Spoljaric","0.4","1012349"
"2003","Doug Creek","-0.2","1202"
"2005","Scott Schoeneweis","0.9","33"
"1999","Paul Quantrill","0.2","669"
"2014","Dustin McGowan","-0.4","8600"
"1996","Luis Andujar","-0.1","1000267"
"2015","Andrew Albers","-0.2","7853"
"2015","Phil Coke","-0.1","5535"
"1993","Tony Castillo","0.3","1002069"
"2012","Steve Delabar","0.5","11827"
"2002","Dan Plesac","0.3","1319"
"2002","Scott Wiggins","-0.1","1631"
"1999","Billy Koch","1.0","924"
"1999","John Frascatore","0.2","1004304"
"1994","Darren Hall","0.5","1005240"
"2003","Aquilino Lopez","1.0","1671"
"2012","Luis Perez","0.4","6389"
"2001","Scott Eyre","0.3","1300"
"2007","Brian Tallet","0.9","1646"
"2009","Shawn Camp","0.5","1855"
"2010","Kevin Gregg","0.8","1793"
"1993","Al Leiter","0.4","883"
"2006","Josh Towers","0.0","1489"
"2013","Todd Redmond","0.0","9943"
"1993","Pat Hentgen","0.0","145"
"2011","Frank Francisco","0.4","1933"
"2015","Bo Schultz","-0.3","5028"
"2001","Dan Plesac","1.2","1319"
"1997","Dan Plesac","0.6","1319"
"1997","Marty Janzen","-0.1","1006362"
"2001","Pasqual Coco","0.1","1294"
"2004","Ryan Glynn","0.0","686"
"1998","Steve Sinclair","0.3","1012004"
"2002","Cliff Politte","1.1","967"
"2002","Felix Heredia","0.0","1304"
"1999","Graeme Lloyd","0.1","783"
"1998","Dave Stieb","0.3","1012532"
"1994","Woody Williams","0.5","1190"
"2016","Jason Grilli","0.1","521"
"1996","Mike Timlin","1.4","1187"
"2010","Casey Janssen","0.3","7355"
"2002","Scott Eyre","0.8","1300"
"2010","Jason Frasor","0.9","1906"
"1992","David Wells","0.3","855"
"2011","Octavio Dotel","-0.1","555"
"1995","Kenny Robinson","-0.2","1011074"
"2013","Juan Perez","0.2","2557"
"2010","David Purcey","0.3","8360"
"2001","Pedro Borbon","0.3","1289"
"1998","Dan Plesac","1.3","1319"
"2001","Matt DeWitt","0.0","1028"
"2013","Neil Wagner","0.1","8162"
"2015","Mark Lowe","0.1","7416"
"1999","Roy Halladay","-0.1","1303"
"2001","Esteban Loaiza","0.2","1310"
"2000","Chris Carpenter","0.4","1292"
"2013","Darren Oliver","0.1","206"
"2014","Kendall Graveman","0.1","15514"
"1995","Woody Williams","0.1","1190"
"2006","Davis Romero","0.1","2756"
"2015","Felix Doubront","0.0","1478"
"2005","Vinnie Chulk","0.1","1838"
"2002","Corey Thurman","-0.5","1324"
"2001","Kelvim Escobar","0.8","1298"
"1996","Bill Risley","-0.3","1010986"
"2004","Justin Speier","0.4","451"
"2016","Brett Cecil","0.5","2660"
"2014","Casey Janssen","0.0","7355"
"2016","Danny Barnes","0.4","11388"
"2004","Terry Adams","0.4","946"
"2013","Brad Lincoln","-0.4","4241"
"2006","Brian Tallet","0.0","1646"
"2009","Scott Richmond","0.0","4307"
"1993","Huck Flener","0.0","1004148"
"2002","Brian Bowles","0.2","1290"
"1993","Doug Linton","0.0","1662"
"2016","Gavin Floyd","0.3","3886"
"2011","Jesse Litsch","0.1","3688"
"2004","Jason Frasor","0.8","1906"
"2005","Miguel Batista","0.5","46"
"2008","Shawn Camp","0.6","1855"
"2012","Jason Frasor","0.2","1906"
"1992","Mike Timlin","0.7","1187"
"2012","Joel Carreno","-0.1","2746"
"2006","Ty Taubenheim","-0.1","5561"
"2008","Jason Frasor","-0.1","1906"
"2011","Shawn Camp","0.3","1855"
"2004","Sean Douglass","0.0","133"
"1996","Tony Castillo","0.6","1002069"
"2003","Juan Acevedo","0.0","458"
"2002","Kelvim Escobar","0.5","1298"
"2011","Luis Perez","-0.1","6389"
"2005","Scott Downs","-0.2","773"
"2006","Jason Frasor","0.2","1906"
"1996","Jeff Ware","-0.2","1013626"
"2016","Chad Girodo","-0.2","15542"
"1992","Mark Eichhorn","0.4","1003712"
"2013","Esmil Rogers","-0.2","6317"
"1992","Bob MacDonald","0.1","1007900"
"1993","Woody Williams","0.2","1190"
"2015","Miguel Castro","-0.1","15684"
"1995","Darren Hall","0.0","1005240"
"1998","Randy Myers","0.3","1009427"
"2015","Aaron Loup","0.2","10343"
"2007","Josh Banks","0.0","5570"
"2014","Brandon Morrow","0.1","9346"
"2003","Scott Service","0.0","1684"
"2000","Paul Quantrill","0.9","669"
"1999","Pete Munro","0.7","1546"
"2016","Jesse Chavez","-0.1","5448"
"2007","Jason Frasor","1.0","1906"
"2009","Brandon League","0.7","3731"
"2004","Jason Kershner","0.1","1566"
"2010","Jesse Carlson","-0.3","4391"
"2003","Trever Miller","0.0","1672"
"2009","Jesse Carlson","0.6","4391"
"2004","Vinnie Chulk","0.2","1838"
"2000","Lance Painter","0.2","1675"
"1993","Mike Timlin","0.2","1187"
"1999","Tom Davey","0.1","1026"
"2009","Brian Tallet","-0.1","1646"
"2000","Mark Guthrie","0.1","876"
"2001","Billy Koch","0.2","924"
"2004","Bob File","0.0","1301"
"2011","Jon Rauch","-0.6","1475"
"2015","Chad Jenkins","-0.1","10326"
"2014","Steve Delabar","-0.5","11827"
"2011","Trever Miller","-0.1","1672"
"2012","Chad Jenkins","-0.1","10326"
"2000","Kelvim Escobar","0.2","1298"
"2002","Pedro Borbon","-0.2","1289"
"1995","Paul Menhart","-0.5","1008765"
"2012","Andrew Carpenter","-0.2","9533"
"2016","Aaron Loup","0.0","10343"
"1995","Giovanni Carrara","0.0","643"
"2003","Vinnie Chulk","0.1","1838"
"2007","Victor Zambrano","0.0","1237"
"1994","Brad Cornett","0.2","1002631"
"2009","Casey Janssen","0.1","7355"
"2007","Joe Kennedy","0.1","1217"
"2012","J.A. Happ","0.1","7410"
"1994","Mike Timlin","0.2","1187"
"2016","Pat Venditte","0.0","7108"
"2002","Brandon Lyon","0.1","1312"
"2015","Steve Delabar","-0.2","11827"
"2006","Vinnie Chulk","0.1","1838"
"1998","Bill Risley","-0.3","1010986"
"1992","Pat Hentgen","-0.3","145"
"1998","Carlos Almanzar","0.1","308"
"2014","Daniel Norris","-0.1","13475"
"2013","Luis Perez","0.1","6389"
"2006","Pete Walker","0.0","1325"
"2000","John Frascatore","-1.1","1004304"
"2016","Bo Schultz","-0.1","5028"
"2003","Jeff Tam","-0.1","940"
"2012","Brad Lincoln","-0.1","4241"
"2003","Cliff Politte","-0.3","967"
"1996","Scott Brow","0.0","1001570"
"2010","Josh Roenicke","0.0","3241"
"2008","Armando Benitez","-0.2","865"
"1995","Jimmy Rogers","-0.4","1011134"
"2012","Brett Cecil","0.1","2660"
"2002","Scott Cassidy","-0.7","1293"
"2003","Tanyon Sturtze","0.0","1230"
"2012","Francisco Cordero","-0.4","1243"
"2000","Leo Estrella","0.0","277"
"2007","Josh Towers","0.0","1489"
"1994","Greg Cadaret","-0.3","1001810"
"1994","Scott Brow","-0.3","1001570"
"2002","Mark Hendrickson","0.1","1574"
"2006","Jeremy Accardo","-0.2","6428"
"1993","Scott Brow","0.0","1001570"
"1997","Chris Carpenter","0.0","1292"
"2008","Jesse Litsch","0.0","3688"
"2015","Colt Hynes","0.0","7560"
"2004","Aquilino Lopez","-0.3","1671"
"2012","Scott Richmond","0.0","4307"
"2007","Shaun Marcum","0.0","6204"
"2003","Dan Reichert","-0.1","624"
"2015","Jeff Francis","-0.1","4684"
"2004","Valerio de los Santos","0.1","681"
"2007","Brandon League","-0.1","3731"
"2016","Drew Storen","-0.2","6983"
"2006","Francisco Rosario","-0.2","2091"
"2012","Chad Beck","0.0","9258"
"1992","Doug Linton","0.0","1662"
"2004","Kerry Ligtenberg","0.5","100"
"2010","Brad Mills","0.1","4420"
"2000","Roy Halladay","0.0","1303"
"2001","Chris Michalak","-0.2","1415"
"2000","Pedro Borbon","-0.6","1289"
"2006","Scott Schoeneweis","0.1","33"
"2009","B.J. Ryan","-0.6","168"
"2005","Brandon League","-0.7","3731"
"2008","Jeremy Accardo","0.0","6428"
"2004","Kevin Frederick","-0.1","1536"
"1995","Ricardo Jordan","-0.4","1006616"
"2013","Mickey Storey","0.1","4721"
"2010","Rommie Lewis","-0.2","3588"
"2011","Dustin McGowan","0.0","8600"
"1994","Dave Righetti","-0.1","1010958"
"2012","Evan Crawford","-0.3","7249"
"2010","Brian Tallet","-1.1","1646"
"2000","Clayton Andrews","-0.1","1000247"
